epoch,binary_accuracy,cohen_kappa,f1_score,loss,precision,recall,val_binary_accuracy,val_cohen_kappa,val_f1_score,val_loss,val_precision,val_recall
0,0.6416151523590088,0.2424793839454651,0.5301634669303894,0.673198401927948,0.567155659198761,0.4977012574672699,0.7157022356987,0.40307700634002686,0.6364425420761108,0.5724208950996399,0.643484354019165,0.6295532584190369
1,0.6876994967460632,0.336234986782074,0.5829856395721436,0.6055815815925598,0.637129545211792,0.5373234152793884,0.7260255217552185,0.42282140254974365,0.6462023854255676,0.5503132343292236,0.6599785089492798,0.6329897046089172
2,0.7021666765213013,0.36640065908432007,0.6010734438896179,0.585419774055481,0.6593154668807983,0.5522862076759338,0.7360771298408508,0.45012718439102173,0.6699507236480713,0.5407242178916931,0.6624118089675903,0.6776632070541382
3,0.7165319323539734,0.39626580476760864,0.6188410520553589,0.5693249106407166,0.6819645762443542,0.5664131045341492,0.7397446632385254,0.4563180208206177,0.6720301508903503,0.5358995199203491,0.6695088744163513,0.6745704412460327
4,0.7139509320259094,0.39095044136047363,0.6157565712928772,0.5628163814544678,0.6777465343475342,0.564156174659729,0.7455854415893555,0.46949708461761475,0.6810829639434814,0.5306330323219299,0.6749915480613708,0.6872852444648743
5,0.7241730690002441,0.4124523401260376,0.628929078578949,0.5532709956169128,0.6935012340545654,0.5753573775291443,0.7521054148674011,0.4751209616661072,0.6750934720039368,0.5196959972381592,0.7004063725471497,0.6515464186668396
6,0.7276370525360107,0.4188380241394043,0.6314677000045776,0.5523631572723389,0.7011939883232117,0.5743542313575745,0.7518337368965149,0.4716174006462097,0.6693212985992432,0.5232827067375183,0.7070745825767517,0.6353951692581177
7,0.7268899083137512,0.41702204942703247,0.6299806833267212,0.5493044257164001,0.7006447911262512,0.5722644925117493,0.754957914352417,0.4811294674873352,0.678774893283844,0.5185372233390808,0.7043606638908386,0.6549828052520752
8,0.7258371114730835,0.4155927896499634,0.6303064227104187,0.5483194589614868,0.6969819664955139,0.5752737522125244,0.7512903809547424,0.47326838970184326,0.6737930178642273,0.5190563201904297,0.6995930671691895,0.6498281955718994
9,0.7299124002456665,0.4230582118034363,0.6331811547279358,0.5489041209220886,0.706318199634552,0.5737690925598145,0.7574028968811035,0.4776209592819214,0.6655430793762207,0.5120394825935364,0.731275737285614,0.6106529235839844
10,0.7285539507865906,0.42028260231018066,0.6316080093383789,0.5474954843521118,0.7039244174957275,0.5727660059928894,0.7572670578956604,0.4765908718109131,0.6639081835746765,0.5140236020088196,0.7332779169082642,0.6065292358398438
11,0.7296746373176575,0.4228252172470093,0.6334499716758728,0.543782651424408,0.7052189111709595,0.5749393701553345,0.7544145584106445,0.47561943531036377,0.6699525117874146,0.5146471261978149,0.7145638465881348,0.630584180355072
12,0.7295387983322144,0.4233816862106323,0.6350806951522827,0.5444536805152893,0.7027685046195984,0.5792861580848694,0.757674515247345,0.4847712516784668,0.678442656993866,0.5149320363998413,0.7134192585945129,0.6467353701591492
13,0.7320179343223572,0.4270728826522827,0.6349969506263733,0.5419602394104004,0.7108533382415771,0.5737690925598145,0.7587612271308899,0.4868333339691162,0.6794223189353943,0.5132627487182617,0.7155893445014954,0.6467353701591492
14,0.7324934005737305,0.42923909425735474,0.6381219029426575,0.5436999201774597,0.7083843350410461,0.5805400013923645,0.7578103542327881,0.4829644560813904,0.6746943593025208,0.5100529789924622,0.719175398349762,0.6353951692581177
15,0.7294369339942932,0.42296862602233887,0.6345245838165283,0.5442525148391724,0.703131377696991,0.5781158804893494,0.7527845501899719,0.46988481283187866,0.6634615063667297,0.5183831453323364,0.7181745171546936,0.6164948344230652
16,0.7326971292495728,0.4290844798088074,0.637130618095398,0.5449109077453613,0.7103207111358643,0.5776143074035645,0.7571312189102173,0.48355352878570557,0.677605390548706,0.5096909999847412,0.712822437286377,0.645704448223114
17,0.7307274341583252,0.42465847730636597,0.6339842081069946,0.5436303615570068,0.7079381346702576,0.5740199089050293,0.7556370496749878,0.4848950505256653,0.6838868260383606,0.5161681771278381,0.6997482776641846,0.6687285304069519
18,0.7297425866127014,0.4229387640953064,0.633474588394165,0.5466484427452087,0.7054057121276855,0.5748558044433594,0.7527845501899719,0.479475200176239,0.681260883808136,0.517400860786438,0.6946428418159485,0.668384850025177
