epoch,binary_accuracy,cohen_kappa,f1_score,loss,lr,precision,recall,val_binary_accuracy,val_cohen_kappa,val_f1_score,val_loss,val_precision,val_recall
0,0.7502716779708862,0.46769750118255615,0.6640105247497559,0.523603081703186,1e-05,0.7275130152702332,0.6107039451599121,0.8004618287086487,0.5679833292961121,0.7202437520027161,0.4512072503566742,0.8077744841575623,0.6498281955718994
1,0.7834001183509827,0.5416963696479797,0.7150643467903137,0.47585663199424744,1e-05,0.7679685354232788,0.6689793467521667,0.8075251579284668,0.5838398933410645,0.7312725186347961,0.4459896385669708,0.8159119486808777,0.6625429391860962
2,0.7999048829078674,0.5774044990539551,0.7383891344070435,0.4519147574901581,1e-05,0.7874798774719238,0.6950597763061523,0.8158109188079834,0.6098902225494385,0.7583749294281006,0.42714664340019226,0.787564754486084,0.731271505355835
3,0.8156285881996155,0.611932635307312,0.7616245150566101,0.426431804895401,1e-05,0.8021642565727234,0.7249853610992432,0.8171692490577698,0.606507420539856,0.7483171224594116,0.42414891719818115,0.8207547068595886,0.6876288652420044
4,0.8257827758789062,0.6332511901855469,0.774644136428833,0.40518808364868164,1e-05,0.8163133263587952,0.7370224595069885,0.7810377478599548,0.548378586769104,0.733905553817749,0.48460426926612854,0.7061626315116882,0.7639175057411194
5,0.8363444805145264,0.6562817692756653,0.7899026870727539,0.3877694010734558,1e-05,0.8254966139793396,0.757251501083374,0.8167617321014404,0.6105193495750427,0.7570682764053345,0.43329665064811707,0.7953083515167236,0.7223367691040039
6,0.8493173718452454,0.6835958957672119,0.8066919445991516,0.36129030585289,1e-05,0.8424021601676941,0.7738861441612244,0.7963868379592896,0.5824137926101685,0.7564581632614136,0.4579281210899353,0.7174113988876343,0.800000011920929
7,0.8561094999313354,0.69844651222229,0.8165721893310547,0.3449639081954956,1e-05,0.8468929529190063,0.7883474230766296,0.8155392408370972,0.6115618944168091,0.7620883584022522,0.44043561816215515,0.7773409485816956,0.7474226951599121
8,0.8676900267601013,0.722830593585968,0.8315607309341431,0.32092568278312683,1e-05,0.8611981868743896,0.8038953542709351,0.8167617321014404,0.6148054599761963,0.764859676361084,0.440204381942749,0.7760877013206482,0.753951907157898
9,0.8768593072891235,0.7423962354660034,0.8439355492591858,0.3015804588794708,1e-05,0.8698429465293884,0.8195268511772156,0.8140450716018677,0.6108633875846863,0.7644933462142944,0.447503000497818,0.7654150724411011,0.7635738849639893
10,0.8846362829208374,0.7590214014053345,0.8544870615005493,0.28275853395462036,1e-05,0.8762959241867065,0.8337373733520508,0.8228742480278015,0.6250309348106384,0.7679715156555176,0.4534108638763428,0.7963099479675293,0.7415807843208313
11,0.8961828351020813,0.7836124897003174,0.8699646592140198,0.25735485553741455,1e-05,0.8856747150421143,0.8548023104667664,0.8118717670440674,0.6098921895027161,0.7678900361061096,0.48231902718544006,0.7494275569915771,0.7872852087020874
12,0.9065747261047363,0.8055460453033447,0.8835062384605408,0.2365652322769165,1e-05,0.8952969312667847,0.8720220923423767,0.818391740322113,0.6168110370635986,0.764405369758606,0.49242013692855835,0.7844484448432922,0.7453608512878418
13,0.9158459305763245,0.8249380588531494,0.895248532295227,0.21756528317928314,1e-05,0.9055845141410828,0.8851458430290222,0.8136376142501831,0.6074632406234741,0.7594670653343201,0.5069466829299927,0.7752326130867004,0.7443298697471619
14,0.923215389251709,0.840388834476471,0.904651403427124,0.1984330266714096,1e-05,0.9128510355949402,0.8965978622436523,0.8096984624862671,0.6074236631393433,0.7686209678649902,0.5424609780311584,0.7399045825004578,0.799656331539154
15,0.9436596035957336,0.8830283284187317,0.9303086996078491,0.1537361741065979,2e-06,0.9350616335868835,0.9256039261817932,0.8215159177780151,0.6242824792861938,0.7700384855270386,0.5495151877403259,0.7845934629440308,0.7560137510299683
